Date,Close, Volume, Open, High, Low
5/19/2020,$313.14 ,25432390,$315.03 ,$318.52 ,$313.01 
5/18/2020,$314.96 ,33843130,$313.17 ,$316.50 ,$310.32 
5/15/2020,$307.71 ,41587090,$300.35 ,$307.90 ,$300.21 
5/14/2020,$309.54 ,39732270,$304.51 ,$309.79 ,$301.53 
5/13/2020,$307.65 ,50155640,$312.15 ,$315.95 ,$303.21 
5/12/2020,$311.41 ,40575260,$317.83 ,$319.69 ,$310.91 
5/11/2020,$315.01 ,36486560,$308.10 ,$317.05 ,$307.24 
5/8/2020,$310.13 ,33511990,$305.64 ,$310.35 ,$304.29 
5/7/2020,$303.74 ,28803760,$303.22 ,$305.17 ,$301.97 
5/6/2020,$300.63 ,35583440,$300.46 ,$303.24 ,$298.87 
5/5/2020,$297.56 ,36937800,$295.06 ,$301 ,$294.46 
5/4/2020,$293.16 ,33391990,$289.17 ,$293.69 ,$286.32 
5/1/2020,$289.07 ,60154180,$286.25 ,$299 ,$285.85 
4/30/2020,$293.80 ,45765970,$289.96 ,$294.53 ,$288.35 
4/29/2020,$287.73 ,34320200,$284.73 ,$289.67 ,$283.89 
4/28/2020,$278.58 ,28001190,$285.08 ,$285.83 ,$278.20 
4/27/2020,$283.17 ,29271890,$281.80 ,$284.54 ,$279.95 
4/24/2020,$282.97 ,31627180,$277.20 ,$283.01 ,$277 
4/23/2020,$275.03 ,31203580,$275.87 ,$281.75 ,$274.87 
4/22/2020,$276.10 ,29264340,$273.61 ,$277.90 ,$272.20 
4/21/2020,$268.37 ,45247890,$276.28 ,$277.25 ,$265.43 
4/20/2020,$276.93 ,32503750,$277.95 ,$281.68 ,$276.85 
